POINT(13.2897646 52.45643629908954)
POINT(13.375108799999998 52.533688299087146)
POINT(13.419764899999999 52.43666619909029)
POINT(13.508689399999998 52.6523629990848)
POINT(13.2738677 52.576389299086124)
POINT(13.5893794 52.51795979908758)
POINT(13.3777699 52.51176429908779)
POINT(13.319004699999999 52.51408099908769)
POINT(13.350181699999998 52.50663009908791)
POINT(13.3534285 52.505217499087976)
POINT(13.321256799999999 52.613955999085384)
POINT(13.2975972 52.518849499087565)
POINT(13.361359199999999 52.51656639908761)
POINT(13.4271072 52.428706099090576)
POINT(13.4137711 52.539402299087016)
POINT(13.337524699999998 52.508461699087874)
POINT(13.3594367 52.5467992990868)
POINT(13.410888699999997 52.53217019908718)
POINT(13.3409744 52.540235699086956)
POINT(13.337255 52.5064946990879)
POINT(13.3218658 52.503865499087986)
POINT(13.445712299999999 52.540099999086976)
POINT(13.2127545 52.540362799086964)
POINT(13.351384199999998 52.50814659908786)
POINT(13.409429 52.520708999087496)
POINT(13.394080899999999 52.517642299087576)
POINT(13.117204 52.40002519909174)
POINT(13.550096099999998 52.46099749908939)
POINT(13.3922425 52.49757899908818)
POINT(13.391758600000001 52.49754969908817)
POINT(13.366959799999998 52.40170379909168)
POINT(13.1317737 52.39708219909187)
POINT(13.367423699999998 52.60812959908547)
POINT(13.575768499999999 52.446070499089934)
POINT(13.369175700000001 52.514683599087675)
POINT(13.340759599999998 52.50611629908792)
POINT(13.293264999999998 52.52448399908739)
POINT(13.3592139 52.56475869908638)
POINT(13.3406559 52.54341999908688)
POINT(13.361016499999998 52.50968169908782)
POINT(13.4045356 52.51159039908777)
POINT(13.5407192 52.438170699090215)
POINT(13.4019195 52.524492799087405)
POINT(13.565390099999998 52.471344499089035)
POINT(13.347954899999998 52.54602059908682)
POINT(13.3141227 52.492174299088354)
POINT(13.406598299999999 52.50457219908796)
POINT(13.4824859 52.474782399088916)
POINT(13.281086900000002 52.51270009908772)
POINT(13.544364299999998 52.465878799089225)
POINT(13.3471466 52.501403899088054)
POINT(13.323822299999998 52.51361409908771)
POINT(13.381797799999998 52.52204369908747)
POINT(13.3933954 52.52005409908751)
POINT(13.394731799999999 52.50349839908801)
POINT(13.31646 52.50062099908807)
POINT(13.266342699999997 52.48095289908872)
POINT(13.254495699999998 52.422494499090845)
POINT(13.2962695 52.509408999087825)
POINT(13.38607 52.55800569908653)
POINT(13.485260499999999 52.47508099908891)
POINT(13.3266441 52.49756649908817)
POINT(13.426637799999998 52.527877899087315)
POINT(13.571371799999998 52.409786399091345)
POINT(13.290402799999999 52.514574499087686)
POINT(13.451142799999998 52.5246550990874)
POINT(13.409245099999998 52.533082299087155)
POINT(13.375695399999998 52.5547097990866)
POINT(13.3986916 52.5174824990876)
POINT(13.398464899999999 52.517466799087586)
POINT(13.425700299999999 52.528409899087286)
POINT(13.4308902 52.47887429908879)
POINT(13.426465199999999 52.42762719909063)
POINT(13.4077428 52.57381309908616)
POINT(13.499417199999998 52.440482599090146)
POINT(13.4727345 52.484813799088585)
POINT(13.412194999999999 52.518413499087565)
POINT(13.448772299999998 52.452627299089684)
POINT(13.302162599999999 52.49907949908814)
POINT(13.449752899999998 52.51502579908766)
POINT(13.370744299999998 52.5316021990872)
POINT(13.395580299999999 52.51657019908761)
POINT(13.402018099999998 52.52196259908745)
POINT(13.5458246 52.465531399089244)
POINT(13.459329 52.50131329908809)
POINT(13.460021 52.500958999088084)
POINT(13.4168985 52.4362592990903)
POINT(13.5525722 52.44606749908992)
POINT(13.310711499999998 52.64473619908492)
POINT(13.6942404 52.383668999092464)
POINT(13.689597799999998 52.41824209909099)
POINT(13.2936163 52.51990219908752)
POINT(13.278505499999998 52.50328009908801)
POINT(13.4269419 52.47340379908897)
POINT(13.410536199999997 52.51541989908766)
POINT(13.335102599999999 52.4494739990898)
POINT(13.5348947 52.435411999090334)
POINT(13.330586299999998 52.52620909908735)
POINT(13.4832978 52.47422929908893)
POINT(13.484288 52.550235199086735)
POINT(13.3986047 52.508023399087875)
POINT(13.276856699999998 52.5773457990861)
POINT(13.2526966 52.446508199089905)
POINT(13.3687677 52.514229099087686)
POINT(13.542956099999998 52.463460299089306)
POINT(13.414768099999998 52.46291639908932)
POINT(13.5223483 52.46496619908927)
POINT(13.293056 52.528186699087286)
POINT(13.414457799999997 52.51279149908772)
POINT(13.2943636 52.54107489908696)
POINT(13.594474899999998 52.439714599090166)
POINT(13.4183789 52.57514179908614)
POINT(13.413232499999998 52.525497099087374)
POINT(13.451786299999998 52.47337619908896)
POINT(13.3228522 52.51073269908778)
POINT(13.4661 52.49240999908834)
POINT(13.4708932 52.53079349908721)
POINT(13.375303299999999 52.5101191990878)
POINT(13.3358046 52.44623739908993)
POINT(13.3537427 52.55247199908667)
POINT(13.3704874 52.5202261990875)
POINT(13.3678013 52.597103099085686)
POINT(13.367464099999998 52.507414699087875)
POINT(13.2881424 52.45197589908971)
POINT(13.375472399999998 52.48949029908843)
POINT(13.3261323 52.561319599086445)
POINT(13.4034811 52.521413699087475)
POINT(13.606142499999999 52.50291819908801)
POINT(13.317328400000001 52.492321199088344)
POINT(13.374518599999998 52.52613599908736)
POINT(13.4075224 52.517764099087586)
POINT(13.4159972 52.513237799087726)
POINT(13.249973299999999 52.5173540990876)
POINT(13.3892456 52.547811699086765)
POINT(13.386207299999999 52.51706189908761)
POINT(13.414755699999999 52.51417259908768)
POINT(13.2624811 52.425496999090704)
POINT(13.561910299999997 52.54349199908688)
POINT(13.433921299999998 52.46583879908922)
POINT(13.4041373 52.64726239908487)
